 from,to,position,time
ek,Moskau_Bolshoi,Principal_Dancer,2011
ab,Moskau_Bolshoi_Academy,Ausbildung,NA
ab,Moskau_Bolshoi,Principal_Dancer,2009
st,Novosibirsk_College,Ausbildung,NA
st,Seoul_Universal_Ballett,NA,2003
st,Zuerich_Ballett,NA,2007
st,Moskau,NA,2008
st,Moskau_Bolshoi,Solist,2011
eg,Moskau_Bolshoi_Academy,Ausbildung,NA
eg,St_Petersburg_Vaganova,Ausbildung,NA
eg,Moskau_Bolshoi,NA,2017
eg,Moskau_Bolshoi,Principal_Dancer,2022
wl,Moskau_Bolshoi_Academy,Ausbildung,NA
wl,Moskau_Bolshoi,NA,2006
wl,Moskau_Bolshoi,Principal_Dancer,2013
ml,St_Petersburg_Vaganova,Ausbildung,NA
ml,St_Petersburg_Mariinsky,NA,2002
ml,Moskau_Bolshoi,NA,2006
ml,Moskau_Bolshoi,Principal_Dancer,2010
wlo,Woronesch,Ausbildung,NA
wlo,Moskau_Bolshoi_Academy,Ausbildung,2003
wlo,Moskau_Bolshoi,NA,2004
wlo,Moskau_Bolshoi,Principal_Dancer,2016
aow,Dnipropetrowsk,Ausbildung,1997
aow,Moskau_Bolshoi_Academy,Ausbildung,NA
aow,Moskau_Bolshoi,NA,2007
ca,Honolulu,Ausbildung,1997
ca,Washington,Ausbildung,2006
ca,Stuttgart_Schule,Ausbildung,2010
ca,Stuttgart_Ballett,Solist,2012
ca,Stuttgart_Ballett,Principal_Dancer,2013
ca,Amsterdam,Solist,2018
ygc,Seoul_School,Ausbildung,2001
ygc,Zuerich_Akademie,Ausbildung,2006
ygc,Seoul_School,Ausbildung_vortfahren,2008
ygc,Seoul_Ballet,NA,NA
ygc,Amsterdam,Corps_de_Ballett,2011
ygc,Amsterdam,Solist,2013
ygc,Amsterdam,Coryphée,2013
ygc,Amsterdam,Solist,2016
gp,Tiflis,Ausbildung,2012
gp,Amsterdam_Academy,Ausbildung,2018
gp,Amsterdam,Junior_Company,2020
gp,Amsterdam,Élève,2021
gp,Amsterdam,Coryphée,2022
gp,Amsterdam,Grand_Sujet,2022
gp,Amsterdam,Solist,2023
tvp,Zoetermeer,Ausbildung,NA
tvp,Amsterdam,Junior_Company,2016
tvp,Amsterdam,Élève,2017
tvp,Amsterdam,Corps_de_Ballett,2018
tvp,Amsterdam,Coryphée,2019
tvp,Amsterdam,Grand_Sujet,2020
tvp,Amsterdam,Solsit,2021
tvp,Amsterdam,Solotaenzer,2023
jt,Landriano,Ausbildung,1999
jt,Mailand,Ausbildung,2005
jt,Wien,Solist,2014
jt,Mailand_Balletto,Corps_de_Ballett,2015
jt,Moskau_Bolshoi,Solist,2017
jt,Moskau_Bolshoi,Direktor,2021
jt,Amsterdam,Solist,2023
nb,Wolgograd,Ausbildung,1998
nb,St_Petersburg_Vaganova,Ausbildung,2000
nb,St_Petersburg_Mariinsky,NA,2009
nb,St_Petersburg_Mariinsky,Solistin,NA
nb,St_Petersburg_Mariinsky,Principal_Dancer,2022
sv,Novosibirsk_College,Ausbildung,NA
sv,Novosibirsk,Solist,2008
sv,Moskau,NA,2011
sv,Amsterdam,Solotaenzer,2020
sv,Amsterdam,Solist,2015
ekko,St_Petersburg_Vaganova,Ausbildung,1993
ekko,St_Petersburg_Mariinsky,NA,2001
ekko,St_Petersburg_Mariinsky,Principal_Dancer,2012
on,St_Petersburg_Vaganova,Ausbildung,1994
on,St_Petersburg_Mariinsky,NA,2002
on,St_Petersburg_Mariinsky,Principal_Dancer,2021
resh,Ufa,Ausbildung,NA
resh,St_Petersburg_Vaganova,Ausbildung,2007
resh,St_Petersburg_Mariinsky,NA,2015
resh,St_Petersburg_Mariinsky,Principal_Dancer,2024
oxsk,Perm_Ballett,Ausbildung,1994
oxsk,St_Petersburg_Mariinsky,NA,2007
oxsk,St_Petersburg_Mariinsky,Solotaenzerin,NA
oxsk,St_Petersburg_Mariinsky,Principal_Dancer,2015
vt,Krasnoyarsk_Ballettschule,Ausbildung,1993
vt,St_Petersburg_Vaganova,Ausbildung,1998
vt,St_Petersburg_Mariinsky,NA,2002
vt,St_Petersburg_Mariinsky,Solotaenzerin,2005
vt,St_Petersburg_Mariinsky,Principal_Dancer,2006
dv,St_Petersburg_Vaganova,Ausbildung,1987
dv,St_Petersburg_Mariinsky,NA,1995
dv,St_Petersburg_Mariinsky,Solotaenzerin,1996
dv,New_York,Solotaenzerin,2005
dv,St_Petersburg_Mariinsky,Principal_Dancer,2006
ta,Baku_School,Ausbildung,NA
ta,Baku,NA,2008
ta,Kiew_Staatsballett,NA,2009
ta,St_Petersburg_Mariinsky,NA,2011
ta,St_Petersburg_Mariinsky,Principal_Dancer,2015
yi,St_Petersburg_Vaganova,Ausbildung,NA
yi,St_Petersburg_Mariinsky,Company,1992
yi,St_Petersburg_Mariinsky,Solist,1996
yi,Moskau_Bolshoi,NA,NA
yi,St_Petersburg_Mariinsky,Principal_Dancer,NA
kk,Seoul_University,Ausbildung,NA
kk,St_Petersburg_Mariinsky,Trainee,2011
kk,St_Petersburg_Mariinsky,Solist,2012
ra,Monterrey,Principal_Dancer,2015
ra,Stuttgart_Schule,Ausbildung,1997
ra,Stuttgart_Schule,Ausbildung,1997
ra,Stuttgart_Ballett,NA,2005
ra,Stuttgart_Ballett,NA,2005
ra,Stuttgart_Ballett,Solist,2009
ra,Stuttgart_Ballett,Solist,2009
ra,Stuttgart_Ballett,Principal_Dancer,2025
eb,Valenzia,Principal_Dancer,2025
eb,London_School,Ausbildung,1997
eb,Stuttgart_Ballett,Ausbildung,1997
eb,Stuttgart_Ballett,NA,2005
eb,Stuttgart_Ballett,NA,2005
eb,Stuttgart_Ballett,Solist,NA
eb,Stuttgart_Ballett,Solist,NA
eb,Stuttgart_Theater,Principal_Dancer,2019
tvp,Amsterdam_Academy,Ausbildung,2010
sw,Novosibirsk_College,Ausbildung,NA
sw,Moskau,NA,2011
sw,Novosibirsk,NA,2008
sw,Amsterdam,Solist,2015
sw,Amsterdam,Solotaenzer,2020
aol,Krasnoyarsk_Opera,Ausbildung,1995
aol,Krasnoyarsk_Ballet,Solistin,2003
aol,St_Petersburg,Principal_Dancer,2011
aol,Moskau,Principal_Dancer,2012
aol,Amsterdam,Principal_Dancer,2015
aol,Moskau_GITIS,certified_ballet_teacher,2018
ps,St_Petersburg_Vaganova,Ausbildung,1997
ps,St_Petersburg_Mariinsky,Corps_de_Ballett,2005
ps,St_Petersburg_Mariinsky,Solist,2009
ps,St_Petersburg_Mariinsky,Principal_Dancer,2025
ay,St_Petersburg_Vaganova,Ausbildung,1997
ay,St_Petersburg_Mariinsky,Corps_de_Ballett,2005
ay,St_Petersburg_Mariinsky,Solist,NA
ay,St_Petersburg_Mariinsky,Principal_Dancer,2019
